Date,Open,High,Low,Close,Volume
24/06/2022,47.68,50.12,47.2,49.71,287920
27/06/2022,50.41,50.89,46.3,48.07,245672
28/06/2022,48,48.86,44.69,45.1,282899
29/06/2022,44.44,44.96,41.88,42.59,1783587
30/06/2022,42.15,42.99,39.76,40.22,3377581
4/07/2022,40.8,41.4,40.1,40.35,610436
5/07/2022,40.14,44.66,38.7,44.36,3416378
6/07/2022,44.55,45.95,42.79,43.06,2408731
7/07/2022,42.81,46.04,42.03,45.83,2630874
8/07/2022,44.48,47.56,44.25,46.08,1804061
11/07/2022,45.23,45.65,41.64,42,2935066
12/07/2022,42.29,43.55,41.3,42.15,2440599
13/07/2022,40.7,42.99,39.47,41.71,2485939
14/07/2022,41.91,42.54,39.92,40.17,3408696
15/07/2022,40.92,41.53,39.17,40.7,2662845
18/07/2022,41.33,44.25,41.24,42.24,3166001
19/07/2022,44.25,44.3,41.45,44.23,2596470
20/07/2022,44.08,50.01,43.96,49.66,3610416
21/07/2022,49.17,52.41,48.9,52.03,3935846
22/07/2022,50.68,51.09,47.33,48.24,2926586
25/07/2022,47.95,48.08,45.96,47.11,2464975
26/07/2022,41.03,41.08,39.3,40.69,4541819
27/07/2022,40.54,45.6,40.3,45.17,4949109
28/07/2022,44.47,46.39,43.23,46.05,6822332
29/07/2022,45.22,47.03,43.29,44.61,4220957
2/08/2022,45.81,50.07,45.74,48.6,4049665
3/08/2022,49.18,54.1,49.17,53.85,3906023
4/08/2022,53.91,54.75,51.68,52.75,3579127
5/08/2022,51.11,54.99,50.68,52.74,3691112
8/08/2022,53.28,54.53,50.54,51.11,3746997
9/08/2022,49.81,49.98,46.83,47.29,3306090
10/08/2022,50.57,52.18,48.61,51.9,3512200
11/08/2022,54.68,57.85,50.64,51.66,4760419
12/08/2022,52.88,53.11,50.68,52,2766378
15/08/2022,51.59,53.05,50.19,51.44,2977679
16/08/2022,51.51,51.85,48.43,50.84,3521632
17/08/2022,50.05,50.4,47.89,48.13,3698873
18/08/2022,48.15,48.3,46.5,47.73,2872109
19/08/2022,46.91,47.26,44.3,44.43,3611451
22/08/2022,43.43,44.22,42.47,43.25,2305188
23/08/2022,43.02,43.79,42.01,42.06,2686898
24/08/2022,42.62,44.44,42.23,43.18,3000181
25/08/2022,43.67,44.88,43.1,44.38,2614534
26/08/2022,44.37,44.69,41.5,42.23,3880355
29/08/2022,41.33,43.18,41.33,41.55,2473996
30/08/2022,42.29,42.87,40.02,41.09,3503400
31/08/2022,41.94,43.73,41.14,41.58,4926336
1/09/2022,40.78,41.23,39.27,41.15,4345278
2/09/2022,41.78,41.94,39.26,39.54,4073599
6/09/2022,39.84,39.86,38.19,39.25,3125231
7/09/2022,39.56,40.86,38.72,40.61,3228750
8/09/2022,40.03,41.92,39.33,41.83,7353057
9/09/2022,42.35,45.47,42.29,45.31,4277147
12/09/2022,45.15,46.46,44.93,45.66,2800943
13/09/2022,42.9,43.84,42.37,43.12,11157265
14/09/2022,42.98,44.44,42.05,44.36,3025452
15/09/2022,43.76,45.85,43.47,44.8,3185893
16/09/2022,43.3,43.64,41.54,42.16,8300826
19/09/2022,41.5,43.76,41.5,43.62,2724888
20/09/2022,43.05,43.2,41.19,41.35,3347793
21/09/2022,41.47,43.33,40.84,41.09,4010981
22/09/2022,40.66,41.14,38.24,38.52,4478836
23/09/2022,38.2,39.25,37.49,39.1,3960277
26/09/2022,38.95,40.76,38.78,38.81,3203467
27/09/2022,39.8,40.23,38.06,38.32,3349137
28/09/2022,38.27,40,37.91,39.86,3836940
29/09/2022,38.93,39.07,36.38,36.68,5036686
30/09/2022,36.59,38.58,36.25,37.19,4451993
3/10/2022,37.42,38.47,36.3,37.8,3536366
4/10/2022,39.65,43.1,39.59,42.61,5327322
5/10/2022,41.54,42.57,41.07,41.96,2922694
6/10/2022,41.78,42.52,40.85,41.32,2955602
7/10/2022,40,40.01,37.03,37.35,4540672
11/10/2022,36.5,36.57,34.53,35.37,4470938
12/10/2022,35.36,36.5,34.84,35.93,2836712
13/10/2022,33.86,36.5,33,36.11,4183468
14/10/2022,37.2,37.69,36.1,36.22,3223762
17/10/2022,37.76,38.4,37.23,38.12,3385017
18/10/2022,39.99,40.75,39.11,39.52,3037152
19/10/2022,39.1,39.37,38.37,39.04,2598906
20/10/2022,39.02,42.25,38.98,40.94,4076602
21/10/2022,40,40.59,38.56,40.54,5749798
24/10/2022,40.3,40.32,38.3,39.49,3331054
25/10/2022,39.88,41.09,39.8,40.63,3159561
26/10/2022,39.68,41.98,38.77,39.46,4235772
27/10/2022,41.98,46.8,41.89,46.22,7203232
28/10/2022,46,47.27,44.36,46.55,4625226
31/10/2022,46.55,49.33,46.32,46.71,5024161
1/11/2022,48,48.65,47.4,47.43,2342423
2/11/2022,47.56,49.18,45.9,45.97,6448954
3/11/2022,45.41,48.25,45.31,46.38,3305866
4/11/2022,46.95,47.35,42.31,43.33,5155523
7/11/2022,43.99,44.4,42.52,43.51,2556860
8/11/2022,43.94,44.53,42.55,44.09,3798680
9/11/2022,43.52,43.53,41.16,41.77,3205855
10/11/2022,45.31,48.84,44.75,48.65,5328643
11/11/2022,48.65,54.18,48.06,52.34,5415210
14/11/2022,51.84,52.2,50.44,51.12,3961888
15/11/2022,53.82,55.49,53.1,53.24,5497316
16/11/2022,52.02,52.83,50.4,51.34,4527630
17/11/2022,49.93,51.02,49.29,50.26,3153687
18/11/2022,51.25,51.33,48.38,49.02,5080367
21/11/2022,48.31,48.54,46.67,47.36,3740160
22/11/2022,47.07,47.42,46.12,47.2,2611474
